country_code,zone,femmes,hommes,population_rurale,population_totale,population_urbaine
202,Afrique du Sud,31181201.0,29381179.0,19170340.0,60562381.0,39550889.0
203,Espagne,24262247.0,23417242.0,8915682.0,47679489.0,37543537.0
205,Sahara occidental,246244.0,303121.0,78676.0,549365.0,518663.0
207,Suriname,305402.0,306914.0,195577.0,612317.0,382175.0
208,Tadjikistan,4973757.0,4775554.0,6868973.0,9749310.0,2606273.0
209,Eswatini,607658.0,585072.0,1091400.0,1192729.0,347895.0
21,Brésil,105816370.0,102844473.0,27645976.0,208660842.0,186217070.0
210,Suède,5144217.0,5209470.0,1216924.0,10353686.0,8904762.0
211,Suisse,4353483.0,4287099.0,2261695.0,8640582.0,6408840.0
212,République arabe syrienne,10528436.0,10520993.0,8426159.0,21049429.0,10498283.0
213,Turkménistan,3546700.0,3403211.0,2863841.0,6949912.0,3167354.0
214,"Chine, Taiwan Province de",11914031.0,11749427.0,5015591.0,23663459.0,18802314.0
215,République-Unie de Tanzanie,30768332.0,30204465.0,40661266.0,60972798.0,22113353.0
216,Thaïlande,36601088.0,35040395.0,33712543.0,71641484.0,35698325.0
217,Togo,4311314.0,4358407.0,4795827.0,8669720.0,3588464.0
218,Tokélaou,1077.0,1050.0,1357.0,2128.0,0.0
219,Tonga,54563.0,51140.0,85389.0,105704.0,25648.0
22,Aruba,56755.0,50645.0,59927.0,107400.0,46511.0
220,Trinité-et-Tobago,748864.0,732159.0,644583.0,1481024.0,733146.0
221,Oman,1713756.0,2808740.0,706730.0,4522497.0,4442970.0
222,Tunisie,6039342.0,5934715.0,3622337.0,11974057.0,8280799.000000001
223,Türkiye,43023461.0,43068231.0,20032305.0,86091692.0,63803445.0
224,Îles Turques-et-Caïques,22123.0,22262.0,2363.0,44386.0,34590.0
225,Émirats arabes unis,3365256.0,6083269.0,1271026.0,9448524.0,8542144.0
226,Ouganda,22437740.0,22019413.0,35412691.0,44457152.0,11775012.0
227,Tuvalu,5077.0,5323.0,4138.0,10399.0,7361.0
229,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,34223101.0,33128760.000000004,10839028.0,67351861.0,56495180.0
23,Belize,194048.0,196763.0,214825.0,390812.0,183182.0
230,Ukraine,23859258.0,20820757.0,13244602.0,44680014.0,30334632.0
231,États-Unis d'Amérique,168726055.0,170710103.0,57456395.0,339436159.0,273975139.0
233,Burkina Faso,10785622.0,10693067.0,14505434.0,21478690.0,6397911.0
234,Uruguay,1750466.0,1648503.0,156716.0,3398968.0,3337671.0
235,Ouzbékistan,16657925.0,16928447.0,16479496.0,33586372.0,16756329.000000002
236,Venezuela (République bolivarienne du),14360363.0,14083715.0,3888173.0,28444077.0,29284219.0
237,Viet Nam,50061601.0,48017590.0,61632897.0,98079191.0,36727248.0
238,Éthiopie,59291103.0,59626569.0,88295647.0,118917671.0,24463423.0
239,Îles Vierges britanniques,19676.0,17459.0,16802.0,37135.0,15832.0
240,Îles Vierges américaines,45228.0,42478.0,4259.0,87707.0,100599.0
243,Îles Wallis-et-Futuna,6029.0,5587.0,11551.0,11616.0,0.0
244,Samoa,105251.0,106692.0,164318.0,211944.0,35799.0
249,Yémen,17830293.0,18304570.0,18779891.0,36134863.0,11465414.0
25,Îles Salomon,363576.0,380922.0,487611.0,744498.0,159686.0
250,République démocratique du Congo,48373399.0,47616599.0,48656754.0,95989998.0,40848447.0
251,Zambie,9626158.0,9433237.0,10342892.0,19059395.0,8336380.999999999
255,Belgique,5848370.0,5691736.0,223197.0,11540107.0,11396775.0
256,Luxembourg,313291.0,317306.0,51616.0,630597.0,552328.0
258,Anguilla,7586.0,7257.0,0.0,14843.0,15283.0
259,Îles Anglo-Normandes,,,115690.0,,51888.0
26,Brunéi Darussalam,209300.0,238103.0,96681.0,447404.0,347838.0
264,Île de Man,42401.0,41663.0,40458.0,84064.0,45437.0
27,Bulgarie,3574164.0,3359488.0,1687490.0,6933652.0,5253037.0
270,Mayotte,148781.0,135589.0,148158.0,284370.0,124952.0
272,Serbie,3616798.0,3291014.0,3790875.0,6907812.0,4913067.0
273,Monténégro,315229.0,292705.0,204630.0,607935.0,424767.0
276,Soudan,23565489.0,23223742.0,28191779.0,46789231.0,15349424.0
277,Soudan du Sud,5434671.0,5263796.0,10860946.0,10698467.0,2749061.0
278,"Bonaire, Saint-Eustache et Saba",12786.0,13668.0,6540.0,26453.0,19672.0
279,Curaçao,97090.0,87928.0,17883.0,185018.0,145612.0
28,Myanmar,26585322.0,26431199.0,37740210.0,53016522.0,17068066.0
280,Sint Maarten (partie néerlandaise),21053.0,19954.0,0.0,41008.0,41364.0
281,Saint-Martin (partie française),16651.0,15136.0,,31786.0,
282,Saint-Barthélemy,5497.0,5046.0,,10543.0,
29,Burundi,6352087.0,6264949.0,10302641.0,12617036.0,1636586.0
299,Palestine,2550968.0,2518724.0,1239153.0,5069692.0,4083476.0
3,Albanie,1450547.0,1421407.0,1114672.0,2871954.0,1827362.0
32,Cameroun,13146019.0,13064540.0,11016661.0,26210558.0,14941523.0
33,Canada,19207454.0,18964448.0,6933141.0,38171902.0,30670064.0
35,Cabo Verde,252892.0,261788.0,189200.0,514679.0,378148.0
351,Chine,714041712.0,743901142.0,554487938.0,1457942854.0,902077760.0
36,Îles Caïmanes,34171.0,34514.0,0.0,68684.0,63890.0
37,République centrafricaine,2581798.0,2444831.0,2844355.0,5026628.0,2076534.0
38,Sri Lanka,11635756.0,10926050.0,17138554.0,22561807.0,3945488.0
39,Tchad,8582450.0,8642229.0,12454833.0,17224679.0,3830260.0
4,Algérie,21551767.0,22490324.0,11382345.0,44042091.0,31950910.0
40,Chili,9737386.0,9633238.0,2267065.0,19370624.0,16205574.0
41,"Chine, continentale",697654481.0,728451612.0,549472347.0,1426106093.0,875075919.0
44,Colombie,25616897.0,25013100.0,9328416.0,50629998.0,40891996.0
45,Comores,398640.0,403523.0,614114.0,802163.0,255487.0
46,Congo,2876271.0,2876519.0,1829564.0,5752791.0,3857353.0
47,Îles Cook,7938.0,7705.0,4292.0,15643.0,13223.0
48,Costa Rica,2543508.0,2490812.0,969965.0,5034320.0,4074214.0
49,Cuba,5646056.0,5530297.0,2621644.0,11176354.0,8873848.0
