country_code,zone,disponibilite_interieure,exportations_-_quantite,importations_-_quantite,nourriture,production,variation_de_stock
21,Brésil,10314.0,4047.0,5.0,10313.0,14356.0,0.0
210,Suède,216.0,40.0,78.0,157.0,172.0,-7.0
211,Suisse,147.0,2.0,43.0,147.0,106.0,0.0
212,République arabe syrienne,144.0,0.0,19.0,144.0,125.0,0.0
213,Turkménistan,41.0,,19.0,39.0,23.0,1.0
214,"Chine, Taiwan Province de",991.0,4.0,255.0,991.0,758.0,17.0
215,République-Unie de Tanzanie,88.0,,6.0,88.0,82.0,0.0
216,Thaïlande,901.0,918.0,2.0,827.0,1812.0,-6.0
217,Togo,40.0,0.0,16.0,40.0,24.0,0.0
219,Tonga,9.0,,9.0,9.0,0.0,0.0
220,Trinité-et-Tobago,67.0,0.0,20.0,67.0,47.0,0.0
221,Oman,90.0,22.0,116.0,90.0,7.0,10.0
222,Tunisie,211.0,0.0,0.0,211.0,229.0,19.0
223,Türkiye,1686.0,559.0,45.0,1686.0,2201.0,1.0
225,Émirats arabes unis,463.0,86.0,493.0,463.0,54.0,-1.0
226,Ouganda,67.0,0.0,0.0,67.0,67.0,0.0
227,Tuvalu,1.0,,1.0,1.0,0.0,0.0
229,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2384.0,432.0,798.0,2269.0,1993.0,-24.0
23,Belize,19.0,0.0,0.0,13.0,19.0,0.0
230,Ukraine,1080.0,436.0,112.0,1077.0,1405.0,1.0
231,États-Unis d'Amérique,19470.0,3878.0,135.0,19447.0,23168.0,-44.0
233,Burkina Faso,198.0,,0.0,198.0,198.0,0.0
234,Uruguay,76.0,1.0,8.0,73.0,69.0,0.0
235,Ouzbékistan,146.0,0.0,44.0,146.0,101.0,0.0
236,Venezuela (République bolivarienne du),458.0,,1.0,458.0,457.0,0.0
237,Viet Nam,1586.0,23.0,290.0,1586.0,1319.0,0.0
238,Éthiopie,64.0,0.0,0.0,64.0,68.0,4.0
244,Samoa,16.0,,16.0,16.0,0.0,0.0
249,Yémen,348.0,,147.0,348.0,201.0,0.0
25,Îles Salomon,5.0,0.0,5.0,5.0,0.0,0.0
250,République démocratique du Congo,97.0,0.0,87.0,97.0,10.0,0.0
251,Zambie,63.0,9.0,21.0,63.0,51.0,0.0
255,Belgique,217.0,568.0,303.0,179.0,448.0,-34.0
256,Luxembourg,12.0,1.0,13.0,12.0,0.0,0.0
27,Bulgarie,150.0,35.0,99.0,149.0,107.0,21.0
272,Serbie,126.0,7.0,18.0,126.0,115.0,0.0
273,Monténégro,10.0,0.0,9.0,10.0,1.0,0.0
276,Soudan,75.0,0.0,1.0,75.0,80.0,6.0
277,Soudan du Sud,39.0,0.0,4.0,37.0,35.0,0.0
28,Myanmar,686.0,,1.0,658.0,685.0,0.0
29,Burundi,8.0,0.0,0.0,8.0,8.0,0.0
3,Albanie,40.0,,27.0,40.0,14.0,0.0
32,Cameroun,18.0,28.0,2.0,18.0,44.0,0.0
33,Canada,1538.0,165.0,204.0,1538.0,1503.0,3.0
35,Cabo Verde,15.0,,15.0,15.0,1.0,0.0
351,Chine,25298.0,619.0,2396.0,25621.0,24405.0,884.0
37,République centrafricaine,44.0,,38.0,44.0,6.0,0.0
38,Sri Lanka,226.0,2.0,0.0,226.0,228.0,0.0
39,Tchad,9.0,,2.0,8.0,7.0,0.0
4,Algérie,258.0,1.0,0.0,258.0,258.0,0.0
40,Chili,698.0,175.0,128.0,698.0,768.0,22.0
41,"Chine, continentale",23877.0,525.0,1554.0,24200.0,23610.0,762.0
44,Colombie,1718.0,0.0,98.0,1718.0,1620.0,0.0
45,Comores,16.0,,25.0,16.0,1.0,10.0
46,Congo,130.0,0.0,123.0,130.0,7.0,0.0
48,Costa Rica,165.0,3.0,18.0,165.0,138.0,-12.0
49,Cuba,436.0,,415.0,436.0,24.0,3.0
50,Chypre,35.0,1.0,13.0,32.0,27.0,4.0
52,Azerbaïdjan,146.0,0.0,31.0,146.0,115.0,0.0
53,Bénin,105.0,,90.0,105.0,16.0,0.0
54,Danemark,143.0,139.0,119.0,143.0,166.0,3.0
55,Dominique,4.0,,4.0,4.0,0.0,0.0
56,République dominicaine,349.0,3.0,44.0,349.0,313.0,5.0
57,Bélarus,320.0,203.0,23.0,320.0,540.0,39.0
58,Équateur,454.0,,0.0,454.0,454.0,0.0
59,Égypte,2130.0,3.0,20.0,2130.0,2121.0,8.0
60,El Salvador,152.0,3.0,20.0,152.0,132.0,-3.0
63,Estonie,28.0,13.0,23.0,28.0,22.0,5.0
66,Fidji,29.0,0.0,4.0,29.0,26.0,0.0
67,Finlande,124.0,12.0,18.0,116.0,145.0,27.0
68,France,1783.0,375.0,516.0,1695.0,1645.0,2.0
7,Angola,278.0,0.0,226.0,278.0,52.0,0.0
70,Polynésie française,17.0,,17.0,14.0,1.0,1.0
72,Djibouti,4.0,,4.0,4.0,,0.0
73,Géorgie,73.0,9.0,57.0,73.0,24.0,0.0
74,Gabon,89.0,0.0,85.0,89.0,4.0,0.0
75,Gambie,26.0,,24.0,26.0,2.0,0.0
79,Allemagne,1603.0,575.0,767.0,1509.0,1572.0,159.0
8,Antigua-et-Barbuda,6.0,0.0,6.0,6.0,0.0,0.0
80,Bosnie-Herzégovine,66.0,11.0,12.0,66.0,66.0,0.0
81,Ghana,361.0,0.0,288.0,361.0,73.0,0.0
83,Kiribati,1.0,,0.0,1.0,1.0,0.0
84,Grèce,243.0,38.0,67.0,242.0,239.0,25.0
86,Grenade,7.0,,6.0,7.0,1.0,0.0
89,Guatemala,548.0,8.0,132.0,512.0,428.0,3.0
9,Argentine,2088.0,182.0,6.0,2088.0,2264.0,0.0
90,Guinée,68.0,,56.0,68.0,12.0,0.0
91,Guyana,43.0,0.0,1.0,43.0,43.0,0.0
93,Haïti,124.0,,115.0,124.0,9.0,0.0
95,Honduras,205.0,1.0,16.0,205.0,190.0,0.0
96,Chine - RAS de Hong-Kong,404.0,90.0,558.0,404.0,34.0,98.0
97,Hongrie,312.0,233.0,84.0,268.0,521.0,60.0
98,Croatie,68.0,16.0,25.0,68.0,70.0,12.0
99,Islande,11.0,0.0,2.0,11.0,9.0,0.0
