country_code,zone,indice_de_quantite_d'exportation_(2014-2016_=_100),indice_de_quantite_d'importation_(2014-2016_=_100),indice_de_valeur_d'exportation_(2014-2016_=_100),indice_de_valeur_des_importations_(2014-2016_=_100),indice_de_valeur_unitaire_a_l'export_(2014-2016_=_100),indice_de_valeur_unitaire_a_l'import_(2014-2016_=_100),valeur_des_exportations_-_prix_periode_de_reference,valeur_des_exportations_-_quantite_periode_de_reference,valeur_des_importations_-_prix_periode_de_reference,valeur_des_importations_-_quantite_periode_de_reference
226,Ouganda,251685.0,64705.0,232484.0,70642.0,13257.0,43772.0,1459425.0,1136537.0,946945.0,635186.0
227,Tuvalu,,7920.0,,5851.0,,15558.0,,,4994.0,4403.0
229,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,22302.0,19920.0,18727.0,15959.0,16211.0,13239.0,16310255.0,15416476.0,51726757.0,45565121.0
23,Belize,1601870.0,81453.0,159539.0,47674.0,5645.0,16498.0,158932.0,226712.0,171958.0,304168.0
230,Ukraine,54262.0,47114.0,29860.0,33143.0,11811.0,10865.0,20731522.0,15516689.0,4894672.0,3146817.0
231,États-Unis d'Amérique,18305.0,17087.0,15973.0,16244.0,14031.0,15095.0,136463778.0,119432556.0,103373692.0,96925126.0
233,Burkina Faso,7188982.0,230281.0,70412.0,125202.0,19138.0,16063.0,459709.0,1144199.0,436872.0,401718.0
234,Uruguay,125863.0,37961.0,72492.0,23988.0,8903.0,11932.0,4944569.0,4361947.0,1077357.0,972841.0
235,Ouzbékistan,35305097.0,1350030.0,24983753.0,459537.0,8189.0,31938.0,1470571.0,923587.0,2309985.0,1527973.0
236,Venezuela (République bolivarienne du),2149446.0,115002.0,219345.0,24454.0,2350.0,21157.0,12892.0,8163.0,7506187.0,5206830.0
237,Viet Nam,51264.0,52565.0,56635.0,144357.0,11381.0,12377.0,17560524.0,14102703.0,19772393.0,12572661.0
238,Éthiopie,7531879.0,80469.0,2563512.0,33202.0,15150.0,46480.0,2320039.0,1944287.0,3541660.0,1845962.0
244,Samoa,167909.0,14105.0,333906.0,19777.0,3521.0,26420.0,6200.0,8307.0,83127.0,82663.0
249,Yémen,12686.0,168958.0,12806.0,151748.0,7471.0,15268.0,189342.0,225780.0,4950433.0,2824848.0
25,Îles Salomon,14303.0,84477.0,5354.0,32650.0,1331.0,15421.0,64082.0,49243.0,110023.0,90488.0
250,République démocratique du Congo,2175660.0,779680.0,3657202.0,504611.0,25747.0,11035.0,180380.0,45231.0,858314.0,593655.0
251,Zambie,56432.0,330810.0,55593.0,49677.0,20629.0,30867.0,578284.0,707393.0,386320.0,336087.0
