Zone,Alimentation pour touristes,Aliments pour animaux,Autres utilisations (non alimentaire),Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Résidus,Semences,Traitement,Variation de stock
Mexique,0.0,27553000.0,6434000.0,3258000.0,744560.0,100770.0,93300.0,198633000.0,25255000.0,44688000.0,92909000.0,10957000.0,183278000.0,-1221000.0,660000.0,61339000.0,4430000.0
Mongolie,0.0,229000.0,69000.0,2369000.0,545920.0,95270.0,82350.0,2099000.0,66000.0,423000.0,1696000.0,53000.0,1679000.0,-14000.0,24000.0,38000.0,-64000.0
Monténégro,0.0,73000.0,22000.0,3478000.0,1086050.0,139360.0,113120.0,821000.0,26000.0,506000.0,674000.0,27000.0,387000.0,-29000.0,1000.0,50000.0,35000.0
Mozambique,0.0,1675000.0,1317000.0,2301000.0,504700.0,40590.0,51180.0,22333000.0,610000.0,2878000.0,14459000.0,1527000.0,19463000.0,-111000.0,123000.0,3339000.0,-600000.0
Myanmar,0.0,16891000.0,3770000.0,2701000.0,585290.0,79980.0,93350.0,70074000.0,3401000.0,3910000.0,31247000.0,3654000.0,70428000.0,-60000.0,1527000.0,13050000.0,861000.0
Namibie,0.0,75000.0,10000.0,2429000.0,568540.0,62270.0,62000.0,1671000.0,849000.0,900000.0,1362000.0,111000.0,2026000.0,16000.0,11000.0,86000.0,426000.0
Nicaragua,0.0,252000.0,397000.0,2627000.0,496290.0,63340.0,66000.0,11322000.0,1688000.0,1106000.0,3166000.0,699000.0,12022000.0,-235000.0,25000.0,7015000.0,125000.0
Niger,0.0,1143000.0,110000.0,2575000.0,501870.0,51730.0,81860.0,14859000.0,311000.0,1150000.0,10842000.0,1784000.0,14423000.0,-9000.0,604000.0,384000.0,403000.0
Nigéria,0.0,42075000.0,16929000.0,2460000.0,629890.0,49470.0,55900.0,209539000.0,717000.0,9818000.0,120242000.0,16724000.0,200878000.0,34000.0,1197000.0,12342000.0,437000.0
Norvège,0.0,3057000.0,928000.0,3384000.0,934660.0,147730.0,109980.0,9763000.0,3513000.0,5080000.0,4951000.0,160000.0,8263000.0,-33000.0,106000.0,589000.0,88000.0
Nouvelle-Calédonie,0.0,22000.0,42000.0,2750000.0,584490.0,119410.0,83120.0,238000.0,5000.0,149000.0,157000.0,4000.0,89000.0,1000.0,0.0,3000.0,-3000.0
Nouvelle-Zélande,0.0,1388000.0,353000.0,3153000.0,737170.0,116200.0,90800.0,5822000.0,24926000.0,2477000.0,3464000.0,496000.0,28659000.0,-791000.0,77000.0,835000.0,379000.0
Népal,0.0,3771000.0,210000.0,2864000.0,690000.0,60620.0,73580.0,27815000.0,87000.0,3299000.0,19069000.0,2127000.0,26038000.0,-22000.0,525000.0,2137000.0,1429000.0
Oman,0.0,319000.0,431000.0,2924000.0,709710.0,76790.0,85040.0,4206000.0,1005000.0,3473000.0,3314000.0,129000.0,1845000.0,-58000.0,3000.0,74000.0,107000.0
Ouganda,0.0,438000.0,314000.0,2143000.0,539650.0,44670.0,52320.0,29493000.0,1973000.0,1766000.0,22210000.0,915000.0,29825000.0,-148000.0,170000.0,5592000.0,116000.0
Ouzbékistan,0.0,3000.0,0.0,3020000.0,923980.0,83210.0,93520.0,75000.0,0.0,10000.0,71000.0,0.0,65000.0,0.0,0.0,0.0,0.0
Pakistan,0.0,7160000.0,5427000.0,2325000.0,469710.0,73340.0,66250.0,194476000.0,8155000.0,8662000.0,97663000.0,12421000.0,197409000.0,-401000.0,7102000.0,65104000.0,3442000.0
Panama,0.0,629000.0,1060000.0,2839000.0,652670.0,79410.0,79420.0,6309000.0,593000.0,1603000.0,2678000.0,111000.0,5352000.0,7000.0,60000.0,1766000.0,53000.0
Paraguay,0.0,3831000.0,1541000.0,2741000.0,668390.0,91670.0,71850.0,20751000.0,10641000.0,643000.0,4591000.0,1929000.0,32070000.0,83000.0,351000.0,8420000.0,1324000.0
Pays-Bas,0.0,12626000.0,6833000.0,3251000.0,945030.0,129250.0,104430.0,50369000.0,58877000.0,59902000.0,16093000.0,1046000.0,48741000.0,-1410000.0,388000.0,14794000.0,-563000.0
Philippines,0.0,9623000.0,10445000.0,2666000.0,574160.0,54550.0,62660.0,120018000.0,9460000.0,15370000.0,60377000.0,3992000.0,117231000.0,-1387000.0,1538000.0,35424000.0,3121000.0
Pologne,0.0,22638000.0,4223000.0,3526000.0,914390.0,128730.0,103020.0,86080000.0,23813000.0,14133000.0,34707000.0,3351000.0,99238000.0,-1558000.0,2443000.0,20276000.0,3475000.0
Polynésie française,41000.0,13000.0,2000.0,2917000.0,678750.0,125700.0,97510.0,374000.0,9000.0,157000.0,186000.0,15000.0,230000.0,0.0,0.0,112000.0,6000.0
Portugal,0.0,3488000.0,528000.0,3494000.0,1041190.0,145040.0,114410.0,18562000.0,5266000.0,11969000.0,10716000.0,647000.0,12584000.0,-393000.0,140000.0,3442000.0,751000.0
Pérou,0.0,5098000.0,3287000.0,2767000.0,695800.0,49750.0,78380.0,46941000.0,8069000.0,8759000.0,21877000.0,4440000.0,44186000.0,-80000.0,564000.0,11748000.0,296000.0
Roumanie,0.0,8354000.0,2274000.0,3525000.0,1047660.0,122710.0,106620.0,36894000.0,15862000.0,8093000.0,20595000.0,751000.0,51510000.0,-517000.0,1526000.0,3907000.0,6850000.0
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,0.0,14164000.0,3490000.0,3428000.0,903960.0,140770.0,103870.0,94597000.0,14656000.0,38016000.0,60347000.0,1671000.0,74136000.0,0.0,1138000.0,13794000.0,2931000.0
Rwanda,0.0,341000.0,11000.0,2210000.0,725560.0,27510.0,59200.0,9101000.0,57000.0,616000.0,8692000.0,759000.0,7847000.0,-966000.0,101000.0,165000.0,-698000.0
République centrafricaine,0.0,30000.0,23000.0,1754000.0,480620.0,48910.0,46400.0,2706000.0,2000.0,46000.0,2206000.0,159000.0,2670000.0,-31000.0,63000.0,262000.0,6000.0
République de Corée,0.0,11519000.0,1967000.0,3370000.0,799050.0,107470.0,96970.0,61001000.0,3305000.0,29381000.0,40830000.0,2251000.0,34733000.0,-193000.0,140000.0,4491000.0,-113000.0
République de Moldova,0.0,1444000.0,147000.0,2397000.0,584250.0,68560.0,63320.0,5581000.0,2723000.0,596000.0,2370000.0,321000.0,7957000.0,-156000.0,172000.0,1281000.0,242000.0
République dominicaine,173000.0,1583000.0,24000.0,2856000.0,788930.0,106680.0,66860.0,17126000.0,1028000.0,3277000.0,8289000.0,985000.0,15241000.0,-5000.0,46000.0,6018000.0,370000.0
République démocratique populaire lao,0.0,1000.0,0.0,3044000.0,888620.0,51240.0,83190.0,176000.0,0.0,1000.0,175000.0,0.0,175000.0,0.0,0.0,0.0,0.0
République populaire démocratique de Corée,0.0,1174000.0,804000.0,2033000.0,492710.0,38130.0,52270.0,16438000.0,128000.0,1001000.0,12532000.0,1090000.0,14515000.0,-8000.0,170000.0,676000.0,-1053000.0
République-Unie de Tanzanie,0.0,2725000.0,462000.0,2390000.0,583370.0,53700.0,59750.0,43867000.0,998000.0,1708000.0,31888000.0,3540000.0,45188000.0,-47000.0,801000.0,4500000.0,2032000.0
Saint-Kitts-et-Nevis,4000.0,0.0,17000.0,2517000.0,527370.0,97140.0,76860.0,50000.0,1000.0,28000.0,23000.0,0.0,28000.0,0.0,0.0,3000.0,3000.0
Saint-Vincent-et-les Grenadines,0.0,56000.0,45000.0,2962000.0,657790.0,79430.0,89170.0,206000.0,37000.0,82000.0,67000.0,12000.0,170000.0,0.0,0.0,25000.0,5000.0
