country_code,zone,besoins_energetiques_alimentaires_moyens_(kcal/personne/jour),densite_du_reseau_ferroviaire_(pour_100_km_carres_de_surface_totale_du_pays),"pib_par_habitant,_($_ppa_internationaux_constants_de_2017)","part_des_cereales,_des_racines_et_des_tubercules_dans_les_apports_energetiques_alimentaires_(%)_(moyenne_sur_3_ans)",pourcentage_des_terres_arables_amenagees_pour_l'irrigation_(%)_(moyenne_sur_3_ans),stabilite_politique_et_absence_de_violence/terrorisme_(indice),suffisance_des_apports_energetiques_alimentaires_moyens_(%)_(moyenne_sur_3_ans),taux_de_dependance_a_l'egard_des_importations_cerealieres_(%)_(moyenne_sur_3_ans),valeur_des_importations_alimentaires_par_rapport_aux_exportations_totales_de_marchandises_(%)_(moyenne_sur_3_ans),variabilite_des_disponibilites_alimentaires_par_habitant_(kcal/personne/jour)
156,Nouvelle-Zélande,2494.0,0.0,46361.9,32.0,2.8,1.47,133.0,46.2,10.0,16.0
157,Nicaragua,2301.0,0.0,6317.3,50.0,1.6,-0.59,115.0,46.1,16.0,30.0
158,Niger,2145.0,0.0,1574.8,57.0,0.2,-1.67,120.0,23.0,66.0,26.0
159,Nigéria,2203.0,0.0,5557.9,65.0,0.4,-1.89,115.0,18.4,10.0,8.0
16,Bangladesh,2309.0,0.0,6968.1,75.0,60.4,-0.92,110.0,13.7,25.0,38.0
160,Nioué,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,0.0
162,Norvège,2554.0,0.6,84071.8,31.0,0.2,1.22,138.0,73.6,5.0,61.0
165,Pakistan,2234.0,0.0,5311.4,48.0,25.9,-1.79,111.0,-12.3,29.0,22.0
166,Panama,2311.0,0.0,27025.3,41.0,0.6,0.24,132.0,64.6,17.0,67.0
167,Tchéquie,2525.0,11.9,45917.3,24.0,0.5,0.91,133.0,-47.4,4.0,62.0
168,Papouasie-Nouvelle-Guinée,2235.0,0.0,4128.8,44.0,0.0,-0.65,99.0,98.1,7.0,11.0
169,Paraguay,2364.0,0.0,14957.8,53.0,0.4,0.02,131.0,-86.1,9.0,18.0
17,Bermudes,2672.0,0.0,88652.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
170,Pérou,2309.0,0.0,13257.9,50.0,2.0,-0.36,122.0,54.3,8.0,18.0
171,Philippines,2253.0,0.0,8446.9,62.0,6.7,-0.78,125.0,31.2,16.0,51.0
173,Pologne,2505.0,6.0,37686.9,35.0,1.9,0.49,141.0,-19.9,6.0,59.0
174,Portugal,2491.0,2.7,36909.2,30.0,6.2,1.01,141.0,78.0,14.0,25.0
175,Guinée-Bissau,2242.0,0.0,2131.6,64.0,0.9,-0.72,97.0,0.0,61.0,61.0
176,Timor-Leste,2222.0,0.0,6724.8,62.0,2.4,0.2,102.0,0.0,44.0,21.0
177,Porto Rico,2497.0,0.0,40131.1,0.0,2.5,0.44,0.0,0.0,0.0,0.0
178,Érythrée,2238.0,0.0,0.0,0.0,0.2,-0.99,0.0,0.0,24.0,0.0
179,Qatar,2654.0,0.0,104323.0,43.0,2.1,0.67,0.0,98.4,4.0,0.0
18,Bhoutan,2377.0,0.0,12937.9,64.0,0.9,1.01,0.0,68.4,23.0,0.0
180,Palaos,0.0,0.0,18101.7,37.0,0.0,1.17,0.0,0.0,0.0,0.0
181,Zimbabwe,2245.0,0.8,3082.9,53.0,0.5,-1.05,91.0,44.1,15.0,21.0
183,Roumanie,2483.0,4.5,35653.4,38.0,13.8,0.51,147.0,-61.5,11.0,28.0
184,Rwanda,2231.0,0.0,2499.0,55.0,0.3,0.07,100.0,36.9,41.0,25.0
185,Fédération de Russie,2463.0,0.5,36928.7,40.0,0.3,-0.67,137.0,-47.3,6.0,11.0
188,Saint-Kitts-et-Nevis,0.0,0.0,26636.9,29.0,0.1,0.93,0.0,0.0,85.0,0.0
189,Sainte-Lucie,2513.0,0.0,17804.5,36.0,4.9,0.86,0.0,92.7,208.0,0.0
19,Bolivie (État plurinational de),2273.0,0.0,8910.6,49.0,0.5,-0.45,105.0,16.3,7.0,22.0
191,Saint-Vincent-et-les Grenadines,2483.0,0.0,15505.4,29.0,1.3,1.03,119.0,87.4,174.0,34.0
193,Sao Tomé-et-Principe,2263.0,0.0,5711.3,47.0,10.4,0.49,106.0,0.0,297.0,27.0
194,Arabie saoudite,2426.0,0.0,45714.8,46.0,1.5,-0.65,134.0,93.2,8.0,36.0
195,Sénégal,2269.0,0.0,4111.7,60.0,0.6,-0.14,122.0,45.7,40.0,23.0
196,Seychelles,2421.0,0.0,24802.0,40.0,0.7,0.7,131.0,0.0,31.0,24.0
197,Sierra Leone,2247.0,0.0,1595.3,69.0,0.4,-0.3,103.0,33.7,72.0,52.0
198,Slovénie,2495.0,5.9,43082.3,38.0,0.3,0.7,125.0,32.1,6.0,16.0
199,Slovaquie,2534.0,7.4,35991.2,30.0,1.3,0.63,118.0,-53.3,5.0,83.0
2,Afghanistan,2134.0,0.0,2776.6,70.0,4.9,-2.7,105.0,37.7,148.0,33.0
20,Botswana,2352.0,0.2,15130.3,49.0,0.0,1.01,110.0,77.4,14.0,33.0
200,Singapour,2486.0,0.0,113400.0,0.0,0.0,1.44,0.0,0.0,3.0,0.0
201,Somalie,2180.0,0.0,1460.4,42.0,0.3,-2.58,83.0,88.7,363.0,17.0
202,Afrique du Sud,2367.0,1.7,13671.8,47.0,1.4,-0.25,118.0,10.1,5.0,33.0
203,Espagne,2506.0,3.1,41039.0,26.0,7.8,0.41,135.0,36.4,8.0,34.0
207,Suriname,2399.0,0.0,19092.2,42.0,0.4,0.42,111.0,-17.5,8.0,29.0
208,Tadjikistan,2285.0,0.5,3805.2,51.0,5.9,-0.5,121.0,49.2,50.0,50.0
209,Eswatini,2322.0,0.0,9308.4,56.0,2.9,-0.04,109.0,65.9,16.0,25.0
21,Brésil,2450.0,0.0,16709.4,31.0,1.0,-0.45,134.0,-24.6,4.0,19.0
210,Suède,2535.0,1.8,60064.6,29.0,0.4,1.0,129.0,-17.2,7.0,26.0
211,Suisse,2559.0,8.9,78023.3,25.0,1.3,1.18,134.0,61.9,3.0,26.0
212,République arabe syrienne,2348.0,0.0,2953.6,52.0,7.1,-2.71,105.0,34.2,48.0,34.0
213,Turkménistan,2302.0,0.0,0.0,52.0,4.2,-0.2,124.0,12.7,5.0,18.0
214,"Chine, Taiwan Province de",2472.0,0.0,0.0,30.0,10.7,0.0,120.0,76.9,3.0,11.0
215,République-Unie de Tanzanie,2150.0,0.0,3408.9,57.0,0.4,-0.48,110.0,0.5,11.0,22.0
216,Thaïlande,2448.0,0.0,19990.6,49.0,12.6,-0.58,116.0,-12.9,4.0,15.0
217,Togo,2251.0,0.0,2587.9,68.0,0.1,-0.89,111.0,24.4,31.0,27.0
218,Tokélaou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,Tonga,2452.0,0.0,7014.8,34.0,0.0,1.09,0.0,0.0,336.0,0.0
220,Trinité-et-Tobago,2441.0,0.0,28059.6,41.0,1.4,0.11,121.0,98.6,12.0,16.0
221,Oman,2446.0,0.0,37572.7,31.0,0.4,0.42,125.0,87.7,10.0,34.0
222,Tunisie,2346.0,1.1,11711.6,46.0,3.2,-0.59,148.0,67.9,14.0,22.0
223,Türkiye,2410.0,1.3,28649.6,41.0,6.8,-1.14,133.0,39.9,7.0,22.0
225,Émirats arabes unis,2666.0,0.3,66590.4,36.0,1.3,0.59,124.0,96.6,4.0,22.0
226,Ouganda,2198.0,0.0,2681.2,42.0,0.1,-0.81,98.0,12.3,23.0,62.0
227,Tuvalu,0.0,0.0,5051.6,34.0,0.0,1.22,0.0,0.0,5702.0,0.0
229,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2492.0,6.7,48583.8,33.0,0.9,0.48,135.0,25.1,12.0,17.0
23,Belize,2297.0,0.0,9934.9,37.0,0.2,0.52,125.0,19.2,38.0,42.0
