Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","261","Calories/Year","F1061","Poultry meat preparations","2020","2020","million kcal","500.62","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","271","Proteins/Year","F1061","Poultry meat preparations","2020","2020","tonnes","66.14","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","004","Afghanistan","281","Fats/Year","F1061","Poultry meat preparations","2020","2020","tonnes","24.27","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","2469.93","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5166","Residuals","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5141","Food supply quantity (tonnes)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","2469.93","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","664","Food supply (kcal/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","kcal/capita/day","2.94","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","665","Food supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","2.35","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0.42","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","684","Fat supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0.09","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","261","Calories/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","million kcal","3087.42","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","271","Proteins/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","444.59","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","281","Fats/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","96.33","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5166","Residuals","21511.03","Fat of poultry","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5141","Food supply quantity (tonnes)","21511.03","Fat of poultry","2020","2020","tonnes","0","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","664","Food supply (kcal/capita/day)","21511.03","Fat of poultry","2020","2020","kcal/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","665","Food supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","674","Protein supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","684","Fat supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","261","Calories/Year","21511.03","Fat of poultry","2020","2020","million kcal","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","271","Proteins/Year","21511.03","Fat of poultry","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","281","Fats/Year","21511.03","Fat of poultry","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5113","Opening stocks","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","7762.6","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5510","Production","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","12233.91","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","23503.19","A","Official figure"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5071","Stock Variation","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5166","Residuals","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","5141","Food supply quantity (tonnes)","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","35737.1","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","664","Food supply (kcal/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","kcal/capita/day","64.98","I","Imputed value"
