Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","028","Antigua and Barbuda","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","79.428","X","Figure from international organizations",""
"OA","Annual population","028","Antigua and Barbuda","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","25.682","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","45036.032","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","22297.001","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","22739.031","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","3590.542","X","Figure from international organizations",""
"OA","Annual population","032","Argentina","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","41919.857","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2805.608","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","1265.512","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","1540.097","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1078.125","X","Figure from international organizations",""
"OA","Annual population","051","Armenia","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1860.554","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","106.585","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","50.211","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","56.373","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","59.927","X","Figure from international organizations",""
"OA","Annual population","533","Aruba","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","46.511","X","Figure from international organizations",""
"OA","Annual population","036","Australia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","25670.051","X","Figure from international organizations",""
"OA","Annual population","036","Australia","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","12738.21","X","Figure from international organizations",""
"OA","Annual population","036","Australia","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","12931.84","X","Figure from international organizations",""
"OA","Annual population","036","Australia","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","3494.472","X","Figure from international organizations",""
"OA","Annual population","036","Australia","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","21903.705","X","Figure from international organizations",""
"OA","Annual population","040","Austria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","8907.777","X","Figure from international organizations",""
"OA","Annual population","040","Austria","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","4382.851","X","Figure from international organizations",""
"OA","Annual population","040","Austria","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","4524.926","X","Figure from international organizations",""
"OA","Annual population","040","Austria","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","3622.85","X","Figure from international organizations",""
"OA","Annual population","040","Austria","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","5159.36","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","10284.951","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","5077.681","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","5207.27","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","4403.813","X","Figure from international organizations",""
"OA","Annual population","031","Azerbaijan","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","5695.93","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","406.471","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","194.506","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","211.965","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","68.165","X","Figure from international organizations",""
"OA","Annual population","044","Bahamas","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","338.674","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","1477.469","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","920.43","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","557.039","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","178.17","X","Figure from international organizations",""
"OA","Annual population","048","Bahrain","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1519.595","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","167420.951","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","83063.714","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","84357.236","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","104960.356","X","Figure from international organizations",""
"OA","Annual population","050","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","64814.953","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","280.693","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","134.528","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","146.165","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","197.873","X","Figure from international organizations",""
"OA","Annual population","052","Barbados","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","89.695","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","9633.74","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","4445.014","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","5188.726","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1931.795","X","Figure from international organizations",""
"OA","Annual population","112","Belarus","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","7483.636","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","11561.717","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","5707.264","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","5854.453","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","223.197","X","Figure from international organizations",""
"OA","Annual population","056","Belgium","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","11396.775","X","Figure from international organizations",""
"OA","Annual population","084","Belize","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","394.921","X","Figure from international organizations",""
"OA","Annual population","084","Belize","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","198.81","X","Figure from international organizations",""
"OA","Annual population","084","Belize","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","196.111","X","Figure from international organizations",""
"OA","Annual population","084","Belize","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","214.825","X","Figure from international organizations",""
"OA","Annual population","084","Belize","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","183.182","X","Figure from international organizations",""
