Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","028","Antigua and Barbuda","5910","Export Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","8.05","T","Unofficial figure"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5922","Export Value","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","1000 US$","25","T","Unofficial figure"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","5950.08","T","Unofficial figure"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","9684","T","Unofficial figure"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","65.01","T","Unofficial figure"
"TCL","Crops and livestock products","028","Antigua and Barbuda","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","76","T","Unofficial figure"
"TCL","Crops and livestock products","032","Argentina","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","750","E","Estimated value"
"TCL","Crops and livestock products","032","Argentina","5622","Import Value","02151","Chickens","2020","2020","1000 US$","17236","A","Official figure"
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","5418.11","A","Official figure"
"TCL","Crops and livestock products","032","Argentina","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","6138","A","Official figure"
"TCL","Crops and livestock products","032","Argentina","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","179460.36","A","Official figure"
"TCL","Crops and livestock products","032","Argentina","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","246749","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","718","I","Imputed value"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","02151","Chickens","2020","2020","1000 US$","2832","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","718.64","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","1000 US$","497","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","21511.03","Fat of poultry","2020","2020","tonnes","0.15","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","21511.03","Fat of poultry","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","21511.03","Fat of poultry","2020","2020","tonnes","0.01","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","21511.03","Fat of poultry","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","32183.53","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","30012","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","1.61","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","2","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","0.02","A","Official figure"
"TCL","Crops and livestock products","051","Armenia","5622","Import Value","21522","Poultry fat, rendered","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5909","Export Quantity","02151","Chickens","2020","2020","1000 Head","192","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5922","Export Value","02151","Chickens","2020","2020","1000 US$","1104","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","21511.03","Fat of poultry","2020","2020","tonnes","40.6","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5922","Export Value","21511.03","Fat of poultry","2020","2020","1000 US$","332","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","452.42","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","1187","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","34229.66","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","50258","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","118.43","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5622","Import Value","21522","Poultry fat, rendered","2020","2020","1000 US$","550","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","194.82","A","Official figure"
"TCL","Crops and livestock products","036","Australia","5922","Export Value","21522","Poultry fat, rendered","2020","2020","1000 US$","224","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","21569","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5622","Import Value","02151","Chickens","2020","2020","1000 US$","43446","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5909","Export Quantity","02151","Chickens","2020","2020","1000 Head","11841","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5922","Export Value","02151","Chickens","2020","2020","1000 US$","16453","A","Official figure"
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","22040.69","A","Official figure"
