Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","4","Algérie","5531","Prix à la Production (SLC/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","234567.3","A","Chiffre officiel"
"PP","Prix à la Production","4","Algérie","5532","Prix à la Production (USD/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","1850.2","A","Chiffre officiel"
"PP","Prix à la Production","4","Algérie","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","91.27","I","Valeur imputée"
"PP","Prix à la Production","79","Allemagne","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","1307","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","1307","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","1492.9","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","108.62","I","Valeur imputée"
"PP","Prix à la Production","79","Allemagne","5530","Prix à la Production (LCU/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","797","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5531","Prix à la Production (SLC/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","797","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","910.3","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","90.26","I","Valeur imputée"
"PP","Prix à la Production","79","Allemagne","5530","Prix à la Production (LCU/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","1077","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5531","Prix à la Production (SLC/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","1077","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5532","Prix à la Production (USD/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","1230.1","A","Chiffre officiel"
"PP","Prix à la Production","79","Allemagne","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","73.62","I","Valeur imputée"
"PP","Prix à la Production","8","Antigua-et-Barbuda","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","12251.6","A","Chiffre officiel"
"PP","Prix à la Production","8","Antigua-et-Barbuda","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","12251.6","A","Chiffre officiel"
"PP","Prix à la Production","8","Antigua-et-Barbuda","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","4537.6","A","Chiffre officiel"
"PP","Prix à la Production","8","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","83.12","I","Valeur imputée"
"PP","Prix à la Production","8","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","91.75","I","Valeur imputée"
"PP","Prix à la Production","8","Antigua-et-Barbuda","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","104.51","I","Valeur imputée"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","74.45","I","Valeur imputée"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","107.48","I","Valeur imputée"
"PP","Prix à la Production","194","Arabie saoudite","5530","Prix à la Production (LCU/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","16466.7","A","Chiffre officiel"
"PP","Prix à la Production","194","Arabie saoudite","5531","Prix à la Production (SLC/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","16466.7","A","Chiffre officiel"
"PP","Prix à la Production","194","Arabie saoudite","5532","Prix à la Production (USD/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","4391.1","A","Chiffre officiel"
"PP","Prix à la Production","194","Arabie saoudite","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","128.21","I","Valeur imputée"
"PP","Prix à la Production","9","Argentine","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","92989","A","Chiffre officiel"
"PP","Prix à la Production","9","Argentine","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","92989","A","Chiffre officiel"
"PP","Prix à la Production","9","Argentine","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","1318.3","A","Chiffre officiel"
"PP","Prix à la Production","9","Argentine","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","763.22","I","Valeur imputée"
"PP","Prix à la Production","9","Argentine","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","601.67","I","Valeur imputée"
"PP","Prix à la Production","9","Argentine","5530","Prix à la Production (LCU/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","80524","A","Chiffre officiel"
"PP","Prix à la Production","9","Argentine","5531","Prix à la Production (SLC/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","80524","A","Chiffre officiel"
"PP","Prix à la Production","9","Argentine","5532","Prix à la Production (USD/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","1141.6","A","Chiffre officiel"
"PP","Prix à la Production","9","Argentine","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","567.08","I","Valeur imputée"
"PP","Prix à la Production","1","Arménie","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","1097877","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","1097877","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","2245.1","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","89.65","I","Valeur imputée"
"PP","Prix à la Production","1","Arménie","5530","Prix à la Production (LCU/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","388569","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5531","Prix à la Production (SLC/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","388569","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","794.6","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","97.9","I","Valeur imputée"
"PP","Prix à la Production","1","Arménie","5530","Prix à la Production (LCU/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","2260097","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5531","Prix à la Production (SLC/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","2260097","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5532","Prix à la Production (USD/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","4621.8","A","Chiffre officiel"
"PP","Prix à la Production","1","Arménie","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","127.55","I","Valeur imputée"
"PP","Prix à la Production","10","Australie","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","3718.8","A","Chiffre officiel"
"PP","Prix à la Production","10","Australie","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","3718.8","A","Chiffre officiel"
"PP","Prix à la Production","10","Australie","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","2559.3","A","Chiffre officiel"
"PP","Prix à la Production","10","Australie","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","112.43","I","Valeur imputée"
"PP","Prix à la Production","10","Australie","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","103.12","I","Valeur imputée"
