Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","40","Chili","511","Population totale","1","Population totale","2020","2020","1000 No","19300.31","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","351","Chine","511","Population totale","1","Population totale","2020","2020","1000 No","1456928.49","X","Chiffre de sources internationales",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","96","Chine - RAS de Hong-Kong","511","Population totale","1","Population totale","2020","2020","1000 No","7500.96","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","128","Chine - RAS de Macao","511","Population totale","1","Population totale","2020","2020","1000 No","676.28","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","41","Chine, continentale","511","Population totale","1","Population totale","2020","2020","1000 No","1424929.78","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","214","Chine, Taiwan Province de","511","Population totale","1","Population totale","2020","2020","1000 No","23821.47","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","50","Chypre","511","Population totale","1","Population totale","2020","2020","1000 No","1237.54","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","44","Colombie","511","Population totale","1","Population totale","2020","2020","1000 No","50930.66","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","45","Comores","511","Population totale","1","Population totale","2020","2020","1000 No","806.17","X","Chiffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","46","Congo","511","Population totale","1","Population totale","2020","2020","1000 No","5702.17","X","Chiffre de sources internationales","Chiffre non officiel"
