Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","48","Costa Rica","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","26021","I","Valeur imputée",""
"QCL","Cultures et produits animaux","107","Côte d'Ivoire","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","89511","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","98","Croatie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","11360","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","49","Cuba","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","30245","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","54","Danemark","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","21250","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","55","Dominique","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","203","I","Valeur imputée",""
"QCL","Cultures et produits animaux","59","Égypte","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","250000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","60","El Salvador","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","18547","I","Valeur imputée",""
"QCL","Cultures et produits animaux","225","Émirats arabes unis","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","24630","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","58","Équateur","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","172328","I","Valeur imputée",""
"QCL","Cultures et produits animaux","178","Érythrée","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1269","E","Valeur estimée",""
"QCL","Cultures et produits animaux","203","Espagne","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","193476","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","63","Estonie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","2055","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","209","Eswatini","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","2061","I","Valeur imputée",""
"QCL","Cultures et produits animaux","231","États-Unis d'Amérique","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1537000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","238","Éthiopie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","56993","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","185","Fédération de Russie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","496964","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","66","Fidji","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5529","I","Valeur imputée",""
"QCL","Cultures et produits animaux","67","Finlande","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","12715","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","68","France","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","242015","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","74","Gabon","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3332","I","Valeur imputée",""
"QCL","Cultures et produits animaux","75","Gambie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","982","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","73","Géorgie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","9298","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","81","Ghana","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","81769","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","86","Grenade","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","380","I","Valeur imputée",""
"QCL","Cultures et produits animaux","89","Guatemala","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","47000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","90","Guinée","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","33431","E","Valeur estimée",""
"QCL","Cultures et produits animaux","61","Guinée équatoriale","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","379","I","Valeur imputée",""
"QCL","Cultures et produits animaux","175","Guinée-Bissau","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","2048","E","Valeur estimée",""
"QCL","Cultures et produits animaux","91","Guyana","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","30102","I","Valeur imputée",""
"QCL","Cultures et produits animaux","93","Haïti","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5912","I","Valeur imputée",""
"QCL","Cultures et produits animaux","95","Honduras","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","47038","I","Valeur imputée",""
"QCL","Cultures et produits animaux","97","Hongrie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","30874","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","47","Îles Cook","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","34","E","Valeur estimée",""
"QCL","Cultures et produits animaux","25","Îles Salomon","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","245","I","Valeur imputée",""
"QCL","Cultures et produits animaux","100","Inde","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","824722","I","Valeur imputée",""
"QCL","Cultures et produits animaux","101","Indonésie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","3570142","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","102","Iran (République islamique d')","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1010445","I","Valeur imputée",""
"QCL","Cultures et produits animaux","103","Iraq","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","78534","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","104","Irlande","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","15236","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","99","Islande","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","222","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","105","Israël","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","51140","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","106","Italie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","142503","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","109","Jamaïque","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","14127","I","Valeur imputée",""
"QCL","Cultures et produits animaux","110","Japon","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","319620","I","Valeur imputée",""
"QCL","Cultures et produits animaux","112","Jordanie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","36000","E","Valeur estimée",""
"QCL","Cultures et produits animaux","108","Kazakhstan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","41668","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","114","Kenya","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","57178","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","113","Kirghizistan","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4674","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","83","Kiribati","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","656","I","Valeur imputée",""
"QCL","Cultures et produits animaux","118","Koweït","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","55460","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","122","Lesotho","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","471","I","Valeur imputée",""
"QCL","Cultures et produits animaux","119","Lettonie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","5643","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","121","Liban","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","68050","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","123","Libéria","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","8031","E","Valeur estimée",""
"QCL","Cultures et produits animaux","124","Libye","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","36550","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","126","Lituanie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","9852","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","256","Luxembourg","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","136","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","154","Macédoine du Nord","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","1643","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","129","Madagascar","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","41230","I","Valeur imputée",""
"QCL","Cultures et produits animaux","131","Malaisie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","293496","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","130","Malawi","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","19458","I","Valeur imputée",""
"QCL","Cultures et produits animaux","133","Mali","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","52098","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","134","Malte","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","884","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","143","Maroc","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","212319","I","Valeur imputée",""
"QCL","Cultures et produits animaux","137","Maurice","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","16211","I","Valeur imputée",""
"QCL","Cultures et produits animaux","136","Mauritanie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","4705","I","Valeur imputée",""
"QCL","Cultures et produits animaux","138","Mexique","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","591596","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","145","Micronésie (États fédérés de)","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","192","I","Valeur imputée",""
"QCL","Cultures et produits animaux","141","Mongolie","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","985","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","273","Monténégro","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","602","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","144","Mozambique","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","20769","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","28","Myanmar","5112","Réserves","1057","Poulets","2020","2020","1000 têtes","98089","A","Chiffre officiel",""
