country,cluster_km_4,inertia
Germany,4,35.021827076077464
"China, Macao SAR",4,23.37973296369821
United States of America,4,18.252811650577982
Qatar,4,13.284252636428157
Israel,4,11.795335934803203
Malaysia,4,11.185188564634991
Bahamas,4,11.029917053190157
Brazil,4,8.285031011964001
Lithuania,4,6.976028481187834
United Kingdom of Great Britain and Northern Ireland,4,6.670973283750123
Argentina,4,6.318873387135185
Japan,4,5.890071136302174
Iceland,4,5.470432216697964
Austria,4,4.8294332952775285
Norway,4,4.7174516898750705
Denmark,4,4.320373251777791
Australia,4,4.199118907928955
Czechia,4,3.96455104241753
Uruguay,4,3.9510790668732354
Republic of Korea,4,3.532895545364928
Sweden,4,3.146306527085184
Canada,4,2.995530174398746
Portugal,4,2.729391202962891
New Zealand,4,2.616281256550109
Finland,4,2.547820732253998
Italy,4,2.337128368880463
Greece,4,2.304557786007872
Spain,4,0.6126443011762034
