country,cluster_km_4,inertia
Lebanon,1,28.787004533596473
Samoa,1,14.18346362987619
Antigua and Barbuda,1,12.90850924327307
Egypt,1,12.627809448355158
Seychelles,1,9.445762837403597
Fiji,1,9.323796002236444
"China, mainland",1,7.414473668293512
Jordan,1,6.604315266577398
Saudi Arabia,1,6.065622249104074
Estonia,1,5.900127227366658
Slovakia,1,5.86206572777007
Mauritius,1,5.379258986252879
Hungary,1,5.190849740815902
Türkiye,1,5.145084141215272
Botswana,1,5.077116349330814
Cabo Verde,1,5.012927821719517
Slovenia,1,4.792438041370746
Poland,1,4.7707242036036535
Panama,1,4.735120232098245
Uzbekistan,1,4.54681709631968
Colombia,1,4.509010277878508
Jamaica,1,4.435695632171697
Algeria,1,4.3545365573652335
Kyrgyzstan,1,4.3171087431655994
Belarus,1,4.01305305014984
Oman,1,3.9663009255576998
Ukraine,1,3.919052276846793
Peru,1,3.7621982802255016
Montenegro,1,3.704225690255582
Albania,1,3.622241814777554
Costa Rica,1,2.853130725546243
Nicaragua,1,2.758864727984087
Dominican Republic,1,2.7416948713866143
Romania,1,2.7320813710126135
Azerbaijan,1,2.642018560626297
Mexico,1,2.6030106583667405
Latvia,1,2.548957904572292
Bolivia (Plurinational State of),1,2.5325924845261976
Bulgaria,1,2.4763871847305277
Ecuador,1,2.4197777898071835
Belize,1,2.3611493598629267
Kazakhstan,1,2.3352501779828843
Serbia,1,2.190768125870109
South Africa,1,2.144186126330674
Croatia,1,2.094450213436182
Bosnia and Herzegovina,1,1.9437327944218363
Armenia,1,1.8967687067958996
Paraguay,1,1.7806208585232834
Chile,1,1.7775179481822525
Gabon,1,1.7727202150899877
Republic of Moldova,1,1.6334848914348696
North Macedonia,1,1.6176597719730723
Morocco,1,1.5426382746208875
Georgia,1,0.8390555291746179
El Salvador,1,0.8296676393265395
