Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5609","Import quantity","02151","Chickens","2020","2020","1000 An","49390","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5622","Import value","02151","Chickens","2020","2020","1000 USD","15341","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5609","Import quantity","02151","Chickens","2020","2020","1000 An","644","A","Official figure",""
"TCL","Crops and livestock products","008","Albania","5622","Import value","02151","Chickens","2020","2020","1000 USD","4591","A","Official figure",""
"TCL","Crops and livestock products","012","Algeria","5609","Import quantity","02151","Chickens","2020","2020","1000 An","5248","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5622","Import value","02151","Chickens","2020","2020","1000 USD","26988","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5609","Import quantity","02151","Chickens","2020","2020","1000 An","306","I","Imputed value",""
"TCL","Crops and livestock products","024","Angola","5622","Import value","02151","Chickens","2020","2020","1000 USD","349","A","Official figure",""
"TCL","Crops and livestock products","024","Angola","5909","Export quantity","02151","Chickens","2020","2020","1000 An","0","A","Official figure",""
"TCL","Crops and livestock products","024","Angola","5922","Export value","02151","Chickens","2020","2020","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5609","Import quantity","02151","Chickens","2020","2020","1000 An","4","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5622","Import value","02151","Chickens","2020","2020","1000 USD","130","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5909","Export quantity","02151","Chickens","2020","2020","1000 An","0","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5922","Export value","02151","Chickens","2020","2020","1000 USD","5","A","Official figure",""
