Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","004","Afghanistan","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","19983.008212","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","511.480175","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","3.152171","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6110","Value US$","22011","Gross National Income","2020","2020","million USD","20132.438423","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6119","Value US$ per capita","22011","Gross National Income","2020","2020","USD","515.304954","X","Figure from international organizations",""
"MK","Macro Indicators","004","Afghanistan","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","2.391867","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","15162.733548","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","5279.588805","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-1.55234","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6110","Value US$","22011","Gross National Income","2020","2020","million USD","14910.940289","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6119","Value US$ per capita","22011","Gross National Income","2020","2020","USD","5191.915638","X","Figure from international organizations",""
"MK","Macro Indicators","008","Albania","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","-1.903258","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","158974.998819","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","3609.615148","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-11.379013","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6110","Value US$","22011","Gross National Income","2020","2020","million USD","156307.345608","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6119","Value US$ per capita","22011","Gross National Income","2020","2020","USD","3549.044608","X","Figure from international organizations",""
"MK","Macro Indicators","012","Algeria","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","-10.921008","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","2890.997547","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","37361.043511","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-8.37216","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6110","Value US$","22011","Gross National Income","2020","2020","million USD","2890.997547","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6119","Value US$ per capita","22011","Gross National Income","2020","2020","USD","37361.043511","X","Figure from international organizations",""
"MK","Macro Indicators","020","Andorra","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","-8.37216","X","Figure from international organizations",""
"MK","Macro Indicators","024","Angola","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","54821.079797","X","Figure from international organizations",""
"MK","Macro Indicators","024","Angola","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","1638.840772","X","Figure from international organizations",""
"MK","Macro Indicators","024","Angola","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-34.059144","X","Figure from international organizations",""
"MK","Macro Indicators","024","Angola","6110","Value US$","22011","Gross National Income","2020","2020","million USD","52205.619927","X","Figure from international organizations",""
"MK","Macro Indicators","024","Angola","6119","Value US$ per capita","22011","Gross National Income","2020","2020","USD","1560.653288","X","Figure from international organizations",""
"MK","Macro Indicators","024","Angola","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","-32.832597","X","Figure from international organizations",""
"MK","Macro Indicators","660","Anguilla","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","261.375713","X","Figure from international organizations",""
"MK","Macro Indicators","660","Anguilla","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","17609.358795","X","Figure from international organizations",""
"MK","Macro Indicators","660","Anguilla","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-31.152075","X","Figure from international organizations",""
"MK","Macro Indicators","660","Anguilla","6110","Value US$","22011","Gross National Income","2020","2020","million USD","235.476483","X","Figure from international organizations",""
"MK","Macro Indicators","660","Anguilla","6119","Value US$ per capita","22011","Gross National Income","2020","2020","USD","15864.480401","X","Figure from international organizations",""
"MK","Macro Indicators","660","Anguilla","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","-31.152075","X","Figure from international organizations",""
"MK","Macro Indicators","028","Antigua and Barbuda","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","1410.740741","X","Figure from international organizations",""
"MK","Macro Indicators","028","Antigua and Barbuda","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","15359.849539","X","Figure from international organizations",""
"MK","Macro Indicators","028","Antigua and Barbuda","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-18.226707","X","Figure from international organizations",""
"MK","Macro Indicators","028","Antigua and Barbuda","6110","Value US$","22011","Gross National Income","2020","2020","million USD","1363.465432","X","Figure from international organizations",""
"MK","Macro Indicators","028","Antigua and Barbuda","6119","Value US$ per capita","22011","Gross National Income","2020","2020","USD","14845.125887","X","Figure from international organizations",""
"MK","Macro Indicators","028","Antigua and Barbuda","6129","Annual growth US$","22011","Gross National Income","2020","2020","%","-18.42986","X","Figure from international organizations",""
"MK","Macro Indicators","032","Argentina","6110","Value US$","22008","Gross Domestic Product","2020","2020","million USD","385740.51026","X","Figure from international organizations",""
"MK","Macro Indicators","032","Argentina","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","USD","8535.599515","X","Figure from international organizations",""
"MK","Macro Indicators","032","Argentina","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-13.850034","X","Figure from international organizations",""
